lrn,last_name,first_name,middle_name,birthday,gender,street_address,city,grade_level
1,Devinn,Conny,Dorie,12/3/2001,Male,672 Summit Parkway,Dembeni,7
2,Reolfi,Kath,Buffey,3/25/1998,Female,5056 Hooker Junction,Los Angeles,7
3,Tanfield,Libby,Heynen,9/29/1999,Female,6 Ilene Avenue,Kronoby,7
4,Kinner,Sibbie,Hirsthouse,4/22/2004,Female,1 South Street,Zaragoza,9
5,Lacoste,Marjory,Pepall,3/7/1994,Female,6837 Waxwing Lane,Reiko,8
6,Bratchell,Silvan,De Filippi,7/27/1993,Male,804 Eliot Hill,Massy,9
7,Whartonby,Felike,Salman,1/27/1996,Male,5 Bay Place,Santa Cruz,10
8,Beed,Frannie,Eydel,8/21/2005,Male,05370 Clove Trail,Bisée,10
9,Swepson,Salmon,Cantero,12/9/1999,Male,86001 Bayside Trail,Ajung,10
10,Finan,Harwilll,Chastney,1/25/2004,Male,045 2nd Avenue,Mohale’s Hoek,7
11,O' Lone,Verney,Palomba,12/5/1993,Male,9 John Wall Parkway,Borek Wielkopolski,10
12,Hoppner,Katrine,Ajsik,11/22/1991,Female,816 Melvin Parkway,Mirador,9
13,Starton,Courtenay,Bowman,4/1/2005,Female,4 Karstens Hill,Stetseva,7
14,Yannoni,Linoel,Towey,2/19/1996,Male,74 Hoard Place,Ozamiz City,9
15,Sore,Latrena,Ickovicz,10/26/1998,Female,00676 Hovde Crossing,Stoczek Łukowski,8
16,Handes,Lillian,Calderhead,5/19/2005,Female,7616 West Drive,Xiayang,10
17,Robbe,Lorna,Van der Velden,9/20/1996,Female,5 Division Street,Xiwei,10
18,Sam,Gardie,Copsey,10/6/2004,Male,35747 Bayside Terrace,Minna,10
19,Stennes,Burgess,Schoular,7/25/2001,Male,6 Magdeline Terrace,Baruunturuun,9
20,Humpatch,Brunhilde,Chatelain,11/5/2002,Female,0 Nova Circle,Labao,9
21,L'Amie,Ingeberg,Axelbey,10/6/2005,Female,4307 Maywood Junction,Borbon,7
22,Croad,Isak,Spavon,12/13/2003,Male,06403 Vernon Street,Guangdu,7
23,Geraudy,Ross,Silson,9/22/1998,Male,388 Katie Trail,Banjar Medura,7
24,Ambrosoni,Hamish,Gimblet,2/14/1991,Male,3 Longview Hill,Chikwawa,10
25,Whitnall,Horace,Poulgreen,6/9/2002,Male,04869 Straubel Road,Kinamayan,7
26,Vedeshkin,Jarrod,Wistance,2/20/2004,Male,0663 Pleasure Way,Rochefort,9
27,Longworth,Vickie,Shemilt,8/11/2005,Female,01 Hollow Ridge Alley,San Javier,10
28,Devoy,Frayda,Giacobini,12/18/2002,Female,7 Huxley Hill,Joyabaj,10
29,Coote,Arthur,Marsay,1/15/1990,Male,04 Dawn Street,Antagan Segunda,10
30,Potten,Raymund,Maddick,2/4/2001,Male,174 Shelley Plaza,San Ignacio de Velasco,10
31,Lear,Drusie,Foulstone,10/31/1995,Female,45668 Reindahl Crossing,Colorado Springs,7
32,Birkmyre,Reinaldos,Lammiman,8/21/2001,Male,5 Kropf Center,Majin,9
33,Osment,Florette,Doogan,6/15/1995,Female,5602 Dottie Park,Pomacocha,9
34,Dinan,Collete,Westlake,6/17/2001,Female,9 Sycamore Avenue,Cuiabá,10
35,Bril,Kayley,Orhrt,1/4/1996,Female,062 Express Plaza,Shuangjie,8
36,Lauritsen,Anetta,Duffus,3/31/1993,Female,16945 Menomonie Avenue,Stýpsi,8
37,Gatman,Tillie,Temporal,5/19/1992,Female,4 Springs Pass,Yanbei,9
38,Auchterlony,Maridel,Beccles,6/25/1998,Female,47 Comanche Drive,Maimará,8
39,Crossingham,Cullin,Rapaport,12/31/1998,Male,76 Sunfield Drive,Bergville,9
40,Tubble,Justinian,Deniskevich,11/2/1994,Male,29 Alpine Hill,Rybnoye,7
41,Sidery,Mignonne,Sarten,12/4/1999,Female,8 Redwing Center,Jauja,10
42,Westoff,Alysia,Cunde,9/14/2001,Female,02998 Dixon Terrace,Ciroyom,9
43,Edmons,Griswold,Decayette,2/2/1998,Male,45637 Mccormick Way,Huangzhai,10
44,Giacopini,Burt,Soreau,4/16/1990,Male,0143 Shoshone Point,Crateús,9
45,Ferneley,Nappie,Trevascus,11/3/1990,Male,22 Kedzie Park,Chebba,9
46,Edmundson,Linc,Fender,10/4/1992,Male,1 Del Sol Trail,Cigembong,8
47,Bladder,Gan,O' Borne,12/7/1993,Male,5 Thompson Plaza,El Alto,9
48,Lotterington,Richy,MacCallam,4/21/1990,Male,66424 Canary Parkway,Dhuusamarreeb,9
49,Jewes,Dori,Thornhill,6/24/1992,Female,038 Lake View Lane,Angers,9
50,Hourican,Karlie,Lowdwell,7/23/1996,Female,9096 Nevada Lane,Gaplokan,9
51,Brouwer,Claudius,Joel,1/25/1994,Male,325 Hoffman Circle,Capivari,9
52,Spelsbury,Randy,Valdes,7/1/1998,Male,4 Ilene Hill,Biguaçu,8
53,Rewbottom,Fredelia,Scowcroft,7/3/2005,Female,1085 Iowa Junction,Chiguirip,8
54,Dunning,Vilma,Mynett,9/19/1992,Female,77 Schmedeman Circle,Jajawai,10
55,Dixie,Peg,Patmore,8/31/1994,Female,6 1st Court,Bajina Bašta,10
56,Levison,Ralina,Pettican,3/15/1991,Female,6155 6th Trail,Dandu,8
57,Gerrit,Alexander,Merchant,9/24/2005,Male,17389 Wayridge Way,Mainit,8
58,Schulken,Emmalyn,Maidlow,11/1/2003,Female,28577 8th Hill,Babice,10
59,Leversuch,Angy,Matuschek,2/8/1994,Female,7 Northfield Lane,Chunmuying,8
60,Mewton,Emily,Corr,3/8/1991,Female,6917 Pine View Crossing,Guilin,8
61,Alejandro,Abraham,Haliburn,11/22/1996,Male,1 Independence Plaza,Ford,8
62,Hallas,Eba,Rutt,3/31/2003,Female,775 Beilfuss Circle,Tapada das Mercês,10
